HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
South Africa,Mexico,2010,1,1,2
Uruguay,France,2010,0,0,0
Spain,Honduras,2010,2,0,2
Chile,Switzerland,2010,1,0,1
Spain,Switzerland,2010,0,1,1
Honduras,Chile,2010,0,1,1
North Korea,Ivory Coast,2010,0,3,3
Portugal,Brazil,2010,0,0,0
Portugal,North Korea,2010,7,0,7
Netherlands,Japan,2010,1,0,1
Brazil,Ivory Coast,2010,3,1,4
Ivory Coast,Portugal,2010,0,0,0
Paraguay,New Zealand,2010,0,0,0
Slovakia,Italy,2010,3,2,5
Italy,New Zealand,2010,1,1,2
Slovakia,Paraguay,2010,0,2,2
New Zealand,Slovakia,2010,1,1,2
Italy,Paraguay,2010,1,1,2
Cameroon,Netherlands,2010,1,2,3
Denmark,Japan,2010,1,3,4
Brazil,North Korea,2010,2,1,3
France,Mexico,2010,0,2,2
Switzerland,Honduras,2010,0,0,0
Germany,Spain,2010,0,1,1
Netherlands,Spain,2010,0,1,1
Uruguay,Germany,2010,2,3,5
Uruguay,Netherlands,2010,2,3,5
Paraguay,Spain,2010,0,1,1
Argentina,Germany,2010,0,4,4
Netherlands,Brazil,2010,2,1,3
Spain,Portugal,2010,1,0,1
Uruguay,Ghana,2010,1,1,2
Brazil,Chile,2010,3,0,3
Netherlands,Slovakia,2010,2,1,3
Chile,Spain,2010,1,2,3
Argentina,Mexico,2010,3,1,4
Germany,England,2010,4,1,5
United States,Ghana,2010,1,2,3
Uruguay,South Korea,2010,2,1,3
Paraguay,Japan,2010,0,0,0
United States,Germany,2014,0,1,1
Belgium,Russia,2014,1,0,1
Russia,South Korea,2014,1,1,2
Belgium,Algeria,2014,2,1,3
Portugal,Ghana,2014,2,1,3
United States,Portugal,2014,2,2,4
Argentina,Switzerland,2014,1,0,1
Ghana,United States,2014,1,2,3
Germany,Portugal,2014,4,0,4
Bosnia and Herzegovina,Iran,2014,3,1,4
Nigeria,Argentina,2014,2,3,5
Nigeria,Bosnia and Herzegovina,2014,1,0,1
Germany,Argentina,2014,1,0,1
Germany,Ghana,2014,2,2,4
Brazil,Netherlands,2014,0,3,3
Germany,Algeria,2014,2,1,3
Brazil,Germany,2014,1,7,8
Netherlands,Costa Rica,2014,0,0,0
Argentina,Belgium,2014,1,0,1
Brazil,Colombia,2014,2,1,3
France,Germany,2014,0,1,1
Belgium,United States,2014,2,1,3
South Korea,Algeria,2014,2,4,6
Argentina,Iran,2014,1,0,1
France,Nigeria,2014,2,0,2
Costa Rica,Greece,2014,1,1,2
Netherlands,Mexico,2014,2,1,3
Colombia,Uruguay,2014,2,0,2
Brazil,Chile,2014,1,1,2
Netherlands,Argentina,2014,0,0,0
Iran,Nigeria,2014,0,0,0
Italy,Uruguay,2014,0,1,1
Ecuador,France,2014,0,0,0
Brazil,Croatia,2014,3,1,4
Mexico,Cameroon,2014,1,0,1
Brazil,Mexico,2014,0,0,0
Cameroon,Croatia,2014,0,4,4
Cameroon,Brazil,2014,1,4,5
Croatia,Mexico,2014,1,3,4
Spain,Netherlands,2014,1,5,6
Chile,Australia,2014,3,1,4
Australia,Netherlands,2014,2,3,5
Spain,Chile,2014,0,2,2
Australia,Spain,2014,0,3,3
Netherlands,Chile,2014,2,0,2
Colombia,Greece,2014,3,0,3
Ivory Coast,Japan,2014,2,1,3
Colombia,Ivory Coast,2014,2,1,3
Japan,Greece,2014,0,0,0
Japan,Colombia,2014,1,4,5
Greece,Ivory Coast,2014,2,1,3
Uruguay,Costa Rica,2014,1,3,4
England,Italy,2014,1,2,3
Uruguay,England,2014,2,1,3
Italy,Costa Rica,2014,0,1,1
Algeria,Russia,2014,1,1,2
Costa Rica,England,2014,0,0,0
Switzerland,Ecuador,2014,2,1,3
France,Honduras,2014,3,0,3
Switzerland,France,2014,2,5,7
Honduras,Ecuador,2014,1,2,3
Honduras,Switzerland,2014,0,3,3
Argentina,Bosnia and Herzegovina,2014,2,1,3
South Korea,Belgium,2014,0,1,1
Belgium,England,2018,2,0,2
Russia,Saudi Arabia,2018,5,0,5
Germany,Sweden,2018,2,1,3
South Korea,Germany,2018,2,0,2
Mexico,Sweden,2018,0,3,3
Belgium,Panama,2018,3,0,3
Tunisia,England,2018,1,2,3
Belgium,Tunisia,2018,5,2,7
England,Panama,2018,6,1,7
England,Belgium,2018,0,1,1
Panama,Tunisia,2018,1,2,3
Colombia,Japan,2018,1,2,3
Poland,Senegal,2018,1,2,3
Japan,Senegal,2018,2,2,4
Poland,Colombia,2018,0,3,3
South Korea,Mexico,2018,1,2,3
Japan,Poland,2018,0,1,1
France,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
Spain,Russia,2018,1,1,2
Croatia,Denmark,2018,1,1,2
Brazil,Mexico,2018,2,0,2
Belgium,Japan,2018,3,2,5
Sweden,Switzerland,2018,1,0,1
Colombia,England,2018,1,1,2
Uruguay,France,2018,0,2,2
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
Croatia,England,2018,2,1,3
Senegal,Colombia,2018,0,1,1
France,Croatia,2018,4,2,6
Sweden,South Korea,2018,1,0,1
Switzerland,Costa Rica,2018,2,2,4
Egypt,Uruguay,2018,0,1,1
Russia,Egypt,2018,3,1,4
Uruguay,Saudi Arabia,2018,1,0,1
Uruguay,Russia,2018,3,0,3
Saudi Arabia,Egypt,2018,2,1,3
Morocco,Iran,2018,0,1,1
Portugal,Spain,2018,3,3,6
Portugal,Morocco,2018,1,0,1
Iran,Spain,2018,0,1,1
Iran,Portugal,2018,1,1,2
Spain,Morocco,2018,2,2,4
France,Australia,2018,2,1,3
Peru,Denmark,2018,0,1,1
Germany,Mexico,2018,0,1,1
Denmark,Australia,2018,1,1,2
Denmark,France,2018,0,0,0
Australia,Peru,2018,0,2,2
Argentina,Iceland,2018,1,1,2
Croatia,Nigeria,2018,2,0,2
Argentina,Croatia,2018,0,3,3
Nigeria,Iceland,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Iceland,Croatia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brazil,Switzerland,2018,1,1,2
Brazil,Costa Rica,2018,2,0,2
Serbia,Switzerland,2018,1,2,3
Serbia,Brazil,2018,0,2,2
France,Peru,2018,1,0,1
Brazil,Belgium,2018,1,2,3
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
Croatia,England,2018,2,1,3
Belgium,England,2018,2,0,2
France,Croatia,2018,4,2,6
Liberia,Sierra Leone,2018,0,0,0
Belize,Barbados,2018,1,0,1
Palestine,Iraq,2018,0,3,3
Guatemala,Cuba,2018,3,0,3
Andorra,United Arab Emirates,2018,0,0,0
Grenada,Jamaica,2018,1,5,6
Guatemala,Cuba,2018,1,0,1
Barbados,Jamaica,2018,2,2,4
Barbados,Cuba,2018,0,0,0
Bangladesh,Sri Lanka,2018,0,1,1
Barbados,Cuba,2018,0,2,2
Macau,Solomon Islands,2018,1,4,5
Timor-Leste,Brunei Darussalam,2018,3,1,4
Ethiopia,Burundi,2018,1,1,2
Mongolia,Macau,2018,4,1,5
Macau,Guam,2018,2,0,2
Nepal,Pakistan,2018,1,2,3
Bangladesh,Bhutan,2018,2,0,2
Fiji,Solomon Islands,2018,1,1,2
Slovakia,Denmark,2018,3,0,3
India,Sri Lanka,2018,2,0,2
Germany,France,2018,0,0,0
Czech Republic,Ukraine,2018,1,2,3
Wales,Republic of Ireland,2018,4,1,5
Norway,Cyprus,2018,2,0,2
Slovenia,Bulgaria,2018,1,2,3
Kazakhstan,Georgia,2018,0,2,2
Latvia,Andorra,2018,0,0,0
Armenia,Liechtenstein,2018,2,1,3
Gibraltar,North Macedonia,2018,0,2,2
Austria,Sweden,2018,2,0,2
Bahrain,Philippines,2018,1,1,2
Jordan,Lebanon,2018,0,1,1
Kyrgyz Republic,Palestine,2018,1,1,2
Netherlands,Peru,2018,2,1,3
Portugal,Croatia,2018,1,1,2
Trinidad and Tobago,United Arab Emirates,2018,2,0,2
Uzbekistan,Syria,2018,1,1,2
Mongolia,Guam,2018,1,1,2
Nepal,Bhutan,2018,4,0,4
Bangladesh,Pakistan,2018,1,0,1
Dominica,Suriname,2018,0,0,0
Guyana,Barbados,2018,3,0,3
Italy,Poland,2018,1,1,2
Turkey,Russia,2018,1,2,3
Albania,Israel,2018,1,0,1
Lithuania,Serbia,2018,0,1,1
Romania,Montenegro,2018,0,0,0
Faroe Islands,Malta,2018,3,1,4
Azerbaijan,Kosovo,2018,0,0,0
Argentina,Guatemala,2018,3,0,3
Chinese Taipei,Malaysia,2018,2,0,2
Ecuador,Jamaica,2018,2,0,2
Korea Republic,Costa Rica,2018,2,0,2
Mexico,Uruguay,2018,1,4,5
Qatar,China PR,2018,1,0,1
Scotland,Belgium,2018,0,4,4
Singapore,Mauritius,2018,1,1,2
USA,Brazil,2018,0,2,2
Venezuela,Colombia,2018,1,2,3
Maldives,Sri Lanka,2018,0,0,0
Antigua and Barbuda,St. Lucia,2018,0,3,3
Belize,Bahamas,2018,4,0,4
Switzerland,Iceland,2018,6,0,6
England,Spain,2018,1,2,3
Northern Ireland,Bosnia and Herzegovina,2018,1,2,3
Finland,Hungary,2018,1,0,1
Estonia,Greece,2018,0,1,1
Belarus,San Marino,2018,5,0,5
Luxembourg,Moldova,2018,4,0,4
Brunei Darussalam,Timor-Leste,2018,1,0,1
Equatorial Guinea,Sudan,2018,1,0,1
Comoros,Cameroon,2018,1,1,2
Gabon,Burundi,2018,1,1,2
Gambia,Algeria,2018,1,1,2
South Africa,Libya,2018,0,0,0
Mauritania,Burkina Faso,2018,2,0,2
Egypt,Niger,2018,6,0,6
Namibia,Zambia,2018,1,1,2
Uganda,Tanzania,2018,0,0,0
Pakistan,Bhutan,2018,3,0,3
Bangladesh,Nepal,2018,0,2,2
St. Vincent and the Grenadines,Nicaragua,2018,0,2,2
Cuba,Turks and Caicos Islands,2018,11,0,11
Montserrat,El Salvador,2018,1,2,3
France,Netherlands,2018,2,1,3
Ukraine,Slovakia,2018,1,0,1
Denmark,Wales,2018,2,0,2
Bulgaria,Norway,2018,1,0,1
Cyprus,Slovenia,2018,2,1,3
Georgia,Latvia,2018,1,0,1
North Macedonia,Armenia,2018,2,0,2
Liechtenstein,Gibraltar,2018,2,0,2
Germany,Peru,2018,2,1,3
Lebanon,Oman,2018,0,0,0
Congo,Zimbabwe,2018,1,1,2
Rwanda,Côte d'Ivoire,2018,1,2,3
India,Maldives,2018,2,0,2
US Virgin Islands,Canada,2018,0,8,8
Aruba,Bermuda,2018,3,1,4
Jamaica,Cayman Islands,2018,4,0,4
St. Kitts and Nevis,Puerto Rico,2018,1,0,1
Portugal,Italy,2018,1,0,1
Sweden,Turkey,2018,2,3,5
Scotland,Albania,2018,2,0,2
Montenegro,Lithuania,2018,2,0,2
Serbia,Romania,2018,2,2,4
Andorra,Kazakhstan,2018,1,1,2
Kosovo,Faroe Islands,2018,2,0,2
Malta,Azerbaijan,2018,1,1,2
Bahrain,China PR,2018,0,0,0
Cambodia,Malaysia,2018,1,3,4
Kuwait,Iraq,2018,2,2,4
Kyrgyz Republic,Syria,2018,2,1,3
Russia,Czech Republic,2018,5,1,6
Saudi Arabia,Bolivia,2018,2,2,4
Curaçao,Grenada,2018,10,0,10
Iceland,Belgium,2018,0,3,3
Spain,Croatia,2018,6,0,6
Bosnia and Herzegovina,Austria,2018,1,0,1
Hungary,Greece,2018,2,1,3
Finland,Estonia,2018,1,0,1
San Marino,Luxembourg,2018,0,3,3
Moldova,Belarus,2018,0,0,0
Colombia,Argentina,2018,0,0,0
Ecuador,Guatemala,2018,2,0,2
England,Switzerland,2018,1,0,1
Gabon,Zambia,2018,0,1,1
Indonesia,Mauritius,2018,1,0,1
Japan,Costa Rica,2018,3,0,3
Jordan,Oman,2018,0,0,0
Kenya,Malawi,2018,1,0,1
Korea Republic,Chile,2018,0,0,0
Laos,United Arab Emirates,2018,0,3,3
Liberia,Nigeria,2018,1,2,3
Northern Ireland,Israel,2019,3,0,3
Panama,Venezuela,2019,0,2,2
Poland,Republic of Ireland,2019,1,1,2
Qatar,Palestine,2019,3,0,3
Singapore,Fiji,2019,2,0,2
USA,Mexico,2019,1,0,1
Uzbekistan,IR Iran,2019,0,1,1
Brazil,El Salvador,2019,5,0,5
India,Pakistan,2019,3,1,4
Nepal,Maldives,2019,0,3,3
Maldives,India,2019,2,1,3
Botswana,Namibia,2019,1,0,1
St. Vincent and the Grenadines,Barbados,2019,1,1,2
Albania,Jordan,2019,0,0,0
Indonesia,Myanmar,2019,3,0,3
Italy,Ukraine,2019,1,1,2
Ethiopia,Kenya,2019,0,0,0
Zambia,Guinea-Bissau,2019,2,1,3
Poland,Portugal,2019,2,3,5
Russia,Sweden,2019,0,0,0
Israel,Scotland,2019,2,1,3
Montenegro,Serbia,2019,0,2,2
Lithuania,Romania,2019,1,2,3
Faroe Islands,Azerbaijan,2019,0,3,3
Kosovo,Malta,2019,3,1,4
Argentina,Iraq,2019,4,0,4
Bahrain,Syria,2019,0,1,1
France,Iceland,2019,2,2,4
Honduras,United Arab Emirates,2019,1,1,2
Hong Kong,Thailand,2019,0,1,1
Kuwait,Lebanon,2019,1,0,1
Mexico,Costa Rica,2019,3,2,5
Turkey,Bosnia and Herzegovina,2019,0,0,0
USA,Colombia,2019,2,4,6
Wales,Spain,2019,1,4,5
Congo,Liberia,2019,3,1,4
Belgium,Switzerland,2019,2,1,3
Croatia,England,2019,0,0,0
Austria,Northern Ireland,2019,1,0,1
Estonia,Finland,2019,0,1,1
Greece,Hungary,2019,1,0,1
Belarus,Luxembourg,2019,1,0,1
Moldova,San Marino,2019,2,0,2
Cambodia,Timor-Leste,2019,2,2,4
Japan,Panama,2019,3,0,3
Korea Republic,Uruguay,2019,2,1,3
Peru,Chile,2019,3,0,3
Qatar,Ecuador,2019,4,3,7
Saudi Arabia,Brazil,2019,0,2,2
Singapore,Mongolia,2019,2,0,2
Sri Lanka,Malaysia,2019,1,4,5
Cameroon,Malawi,2019,1,0,1
Gabon,South Sudan,2019,3,0,3
Togo,Gambia,2019,1,1,2
Côte d'Ivoire,Central African Republic,2019,4,0,4
Angola,Mauritania,2019,4,1,5
Egypt,Eswatini,2019,4,1,5
Cabo Verde,Tanzania,2019,3,0,3
US Virgin Islands,Curaçao,2019,0,5,5
Bahamas,Antigua and Barbuda,2019,0,6,6
Dominican Republic,Cayman Islands,2019,3,0,3
Grenada,Cuba,2019,0,2,2
Netherlands,Germany,2019,3,0,3
Slovakia,Czech Republic,2019,1,2,3
Republic of Ireland,Denmark,2019,0,0,0
Norway,Slovenia,2019,1,0,1
Bulgaria,Cyprus,2019,2,1,3
Latvia,Kazakhstan,2019,1,1,2
Georgia,Andorra,2019,3,0,3
Armenia,Gibraltar,2019,0,1,1
North Macedonia,Liechtenstein,2019,4,1,5
China PR,India,2019,0,0,0
Myanmar,Bolivia,2019,0,3,3
Oman,Philippines,2019,1,1,2
Uzbekistan,Korea DPR,2019,2,0,2
Equatorial Guinea,Madagascar,2019,0,1,1
Nigeria,Libya,2019,4,0,4
Turks and Caicos Islands,Guyana,2019,0,8,8
Suriname,British Virgin Islands,2019,5,0,5
El Salvador,Barbados,2019,3,0,3
Poland,Italy,2019,0,1,1
Russia,Turkey,2019,2,0,2
Israel,Albania,2019,2,0,2
Romania,Serbia,2019,0,0,0
Lithuania,Montenegro,2019,1,4,5
Faroe Islands,Kosovo,2019,1,1,2
Azerbaijan,Malta,2019,1,1,2
Scotland,Portugal,2019,1,3,4
Thailand,Trinidad and Tobago,2019,1,0,1
Guinea-Bissau,Zambia,2019,2,1,3
Montserrat,Belize,2019,1,0,1
Nicaragua,Anguilla,2019,6,0,6
Iceland,Switzerland,2019,1,2,3
Spain,England,2019,2,3,5
Bosnia and Herzegovina,Northern Ireland,2019,2,0,2
Estonia,Hungary,2019,3,3,6
Finland,Greece,2019,2,0,2
Luxembourg,San Marino,2019,3,0,3
Belarus,Moldova,2019,0,0,0
Croatia,Jordan,2019,2,1,3
Kuwait,Australia,2019,0,4,4
Saudi Arabia,Iraq,2019,1,1,2
France,Germany,2019,2,1,3
Ukraine,Czech Republic,2019,1,0,1
Republic of Ireland,Wales,2019,0,1,1
Norway,Bulgaria,2019,1,0,1
Slovenia,Cyprus,2019,1,1,2
Kazakhstan,Andorra,2019,4,0,4
Latvia,Georgia,2019,0,3,3
Armenia,North Macedonia,2019,4,0,4
Gibraltar,Liechtenstein,2019,2,1,3
Bahrain,Myanmar,2019,4,1,5
Belgium,Netherlands,2019,1,1,2
Cambodia,Singapore,2019,1,2,3
China PR,Syria,2019,2,0,2
Colombia,Costa Rica,2019,3,1,4
Denmark,Austria,2019,2,0,2
Indonesia,Hong Kong,2019,1,1,2
IR Iran,Bolivia,2019,2,1,3
Japan,Uruguay,2019,4,3,7
Korea Republic,Panama,2019,2,2,4
Laos,Mongolia,2019,1,4,5
Malaysia,Kyrgyz Republic,2019,0,1,1
Mexico,Chile,2019,0,1,1
Oman,Ecuador,2019,0,0,0
Sweden,Slovakia,2019,1,1,2
United Arab Emirates,Venezuela,2019,0,2,2
USA,Peru,2019,1,1,2
Uzbekistan,Qatar,2019,2,0,2
Madagascar,Equatorial Guinea,2019,1,0,1
Malawi,Cameroon,2019,0,0,0
Burundi,Mali,2019,1,1,2
Benin,Algeria,2019,1,0,1
Seychelles,South Africa,2019,0,0,0
Liberia,Congo,2019,2,1,3
Central African Republic,Côte d'Ivoire,2019,0,0,0
Mauritania,Angola,2019,1,0,1
Eswatini,Egypt,2019,0,2,2
Tanzania,Cabo Verde,2019,2,0,2
Argentina,Brazil,2019,0,1,1
Canada,Dominica,2019,5,0,5
St. Lucia,Haiti,2019,1,2,3
Malaysia,Maldives,2019,3,0,3
Cambodia,Malaysia,2019,0,1,1
Laos,Vietnam,2019,0,3,3
Singapore,Indonesia,2019,1,0,1
Thailand,Timor-Leste,2019,7,0,7
Korea DPR,Mongolia,2019,4,1,5
Chinese Taipei,Hong Kong,2019,1,2,3
Myanmar,Cambodia,2019,4,1,5
Malaysia,Laos,2019,3,1,4
Indonesia,Timor-Leste,2019,3,1,4
Philippines,Singapore,2019,1,0,1
Chinese Taipei,Mongolia,2019,2,1,3
Hong Kong,Korea DPR,2019,0,0,0
Switzerland,Qatar,2019,0,1,1
Vanuatu,New Caledonia,2019,0,1,1
Belgium,Iceland,2019,2,0,2
Croatia,Spain,2019,3,2,5
Austria,Bosnia and Herzegovina,2019,0,0,0
Hungary,Estonia,2019,2,0,2
Greece,Finland,2019,1,0,1
Andorra,Georgia,2019,1,1,2
Kazakhstan,Latvia,2019,1,1,2
Luxembourg,Belarus,2019,0,2,2
San Marino,Moldova,2019,0,1,1
England,USA,2019,3,0,3
Germany,Russia,2019,3,0,3
IR Iran,Trinidad and Tobago,2019,1,0,1
Israel,Guatemala,2019,7,0,7
Peru,Ecuador,2019,0,2,2
Poland,Czech Republic,2019,0,1,1
Republic of Ireland,Northern Ireland,2019,0,0,0
Uzbekistan,Lebanon,2019,0,0,0
Netherlands,France,2019,2,0,2
Slovakia,Ukraine,2019,4,1,5
Wales,Denmark,2019,1,2,3
Slovenia,Norway,2019,1,1,2
Cyprus,Bulgaria,2019,1,1,2
Gibraltar,Armenia,2019,2,6,8
Liechtenstein,North Macedonia,2019,0,2,2
Argentina,Mexico,2019,2,0,2
Brazil,Uruguay,2019,1,0,1
Chile,Costa Rica,2019,2,3,5
Honduras,Panama,2019,1,0,1
Japan,Venezuela,2019,1,1,2
Oman,Syria,2019,1,1,2
Palestine,Pakistan,2019,2,1,3
Saudi Arabia,Yemen,2019,1,0,1
United Arab Emirates,Bolivia,2019,0,0,0
Laos,Myanmar,2019,1,3,4
Vietnam,Malaysia,2019,2,0,2
Morocco,Cameroon,2019,2,0,2
South Sudan,Burundi,2019,2,5,7
Egypt,Tunisia,2019,3,2,5
Chinese Taipei,Korea DPR,2019,0,2,2
Mongolia,Hong Kong,2019,1,5,6
Bermuda,El Salvador,2019,1,0,1
Aruba,Montserrat,2019,0,2,2
Belize,Puerto Rico,2019,1,0,1
Italy,Portugal,2019,0,0,0
Turkey,Sweden,2019,0,1,1
Albania,Scotland,2019,0,4,4
Serbia,Montenegro,2019,2,1,3
Romania,Lithuania,2019,3,0,3
Malta,Kosovo,2019,0,5,5
Azerbaijan,Faroe Islands,2019,2,0,2
Australia,Korea Republic,2019,1,1,2
Jordan,India,2019,2,1,3
Vanuatu,New Caledonia,2019,2,2,4
Thailand,Indonesia,2019,4,2,6
Timor-Leste,Philippines,2019,2,3,5
Equatorial Guinea,Senegal,2019,0,1,1
Gambia,Benin,2019,3,1,4
Seychelles,Libya,2019,1,8,9
Namibia,Guinea-Bissau,2019,0,0,0
Uganda,Cabo Verde,2019,1,0,1
Cuba,Dominican Republic,2019,1,0,1
Jamaica,Suriname,2019,2,1,3
Cayman Islands,St. Lucia,2019,0,0,0
Nicaragua,Haiti,2019,0,2,2
Switzerland,Belgium,2019,5,2,7
England,Croatia,2019,2,1,3
Northern Ireland,Austria,2019,1,2,3
Greece,Estonia,2019,0,1,1
Hungary,Finland,2019,2,0,2
San Marino,Belarus,2019,0,2,2
Moldova,Luxembourg,2019,1,1,2
Spain,Bosnia and Herzegovina,2019,1,0,1
Ethiopia,Ghana,2019,0,2,2
Congo,Congo DR,2019,1,1,2
Guinea,Côte d'Ivoire,2019,1,1,2
Angola,Burkina Faso,2019,2,1,3
Turks and Caicos Islands,St. Vincent and the Grenadines,2019,3,2,5
Bahamas,Anguilla,2019,1,1,2
Barbados,US Virgin Islands,2019,3,0,3
St. Kitts and Nevis,Canada,2019,0,1,1
Germany,Netherlands,2019,2,2,4
Czech Republic,Slovakia,2019,1,0,1
Denmark,Republic of Ireland,2019,0,0,0
Bulgaria,Slovenia,2019,1,1,2
Cyprus,Norway,2019,0,2,2
Andorra,Latvia,2019,0,0,0
Georgia,Kazakhstan,2019,2,1,3
North Macedonia,Gibraltar,2019,4,0,4
Liechtenstein,Armenia,2019,2,2,4
Iceland,Qatar,2019,2,2,4
Oman,Bahrain,2019,2,1,3
Portugal,Poland,2019,1,1,2
Sweden,Russia,2019,2,0,2
Scotland,Israel,2019,3,2,5
Montenegro,Romania,2019,0,1,1
Serbia,Lithuania,2019,4,1,5
Kosovo,Azerbaijan,2019,4,0,4
Malta,Faroe Islands,2019,1,1,2
Albania,Wales,2019,1,0,1
Argentina,Mexico,2019,2,0,2
Australia,Lebanon,2019,3,0,3
Brazil,Cameroon,2019,1,0,1
Chile,Honduras,2019,4,1,5
China PR,Palestine,2019,1,1,2
El Salvador,Haiti,2019,1,0,1
France,Uruguay,2019,1,0,1
IR Iran,Venezuela,2019,1,1,2
Iraq,Bolivia,2019,0,0,0
Italy,USA,2019,1,0,1
Japan,Kyrgyz Republic,2019,4,0,4
Jordan,Saudi Arabia,2019,1,1,2
Korea Republic,Uzbekistan,2019,4,0,4
Kuwait,Syria,2019,1,2,3
Nigeria,Uganda,2019,0,0,0
Panama,Ecuador,2019,1,2,3
Peru,Costa Rica,2019,2,3,5
South Africa,Paraguay,2019,1,1,2
Tunisia,Morocco,2019,0,1,1
Turkey,Ukraine,2019,0,0,0
United Arab Emirates,Yemen,2019,2,0,2
Myanmar,Vietnam,2019,0,0,0
Cambodia,Laos,2019,3,1,4
Philippines,Thailand,2019,1,1,2
Singapore,Timor-Leste,2019,6,1,7
Vietnam,Cambodia,2019,3,0,3
Malaysia,Myanmar,2019,3,0,3
Indonesia,Philippines,2019,0,0,0
Thailand,Singapore,2019,3,0,3
Malaysia,Thailand,2019,0,0,0
Philippines,Vietnam,2019,1,2,3
Thailand,Malaysia,2019,2,2,4
Vietnam,Philippines,2019,2,1,3
Malaysia,Vietnam,2019,2,2,4
Oman,Tajikistan,2019,2,1,3
Vietnam,Malaysia,2019,1,0,1
Oman,Tajikistan,2019,1,0,1
Palestine,Pakistan,2019,2,0,2
Bahrain,Tajikistan,2019,5,0,5
Jordan,Kyrgyz Republic,2019,0,1,1
Qatar,Jordan,2019,2,0,2
Iraq,China PR,2019,2,1,3
Palestine,IR Iran,2019,1,1,2
Afghanistan,Turkmenistan,2019,0,2,2
Qatar,Kyrgyz Republic,2019,1,0,1
Vietnam,Korea DPR,2019,1,1,2
Bahrain,Lebanon,2019,1,0,1
India,Oman,2019,0,0,0
Qatar,Algeria,2019,0,1,1
China PR,Jordan,2019,1,1,2
Iraq,Palestine,2019,1,0,1
United Arab Emirates,Kuwait,2019,0,2,2
Bahrain,Korea DPR,2019,4,0,4
Australia,Oman,2019,5,0,5
Yemen,Syria,2019,0,1,1
Korea Republic,Saudi Arabia,2019,0,0,0
Kyrgyz Republic,Palestine,2019,2,1,3
Philippines,Vietnam,2019,2,4,6
Qatar,IR Iran,2019,1,2,3
Oman,Thailand,2019,2,0,2
United Arab Emirates,Bahrain,2019,1,1,2
Thailand,India,2019,1,4,5
Australia,Jordan,2019,0,1,1
Syria,Palestine,2019,0,0,0
China PR,Kyrgyz Republic,2019,2,1,3
Korea Republic,Philippines,2019,1,0,1
IR Iran,Yemen,2019,5,0,5
Finland,Sweden,2019,1,0,1
Iraq,Vietnam,2019,3,2,5
Saudi Arabia,Korea DPR,2019,4,0,4
Qatar,Lebanon,2019,2,0,2
Japan,Turkmenistan,2019,3,2,5
Uzbekistan,Oman,2019,2,1,3
Bahrain,Thailand,2019,0,1,1
Jordan,Syria,2019,2,0,2
United Arab Emirates,India,2019,2,0,2
Estonia,Finland,2019,2,1,3
Iceland,Sweden,2019,2,2,4
Palestine,Australia,2019,0,3,3
Philippines,China PR,2019,0,3,3
Kyrgyz Republic,Korea Republic,2019,0,1,1
Vietnam,IR Iran,2019,0,2,2
Yemen,Iraq,2019,0,3,3
Lebanon,Saudi Arabia,2019,0,2,2
Korea DPR,Qatar,2019,0,6,6
Oman,Japan,2019,0,1,1
Turkmenistan,Uzbekistan,2019,0,4,4
India,Bahrain,2019,0,1,1
United Arab Emirates,Thailand,2019,1,1,2
Estonia,Iceland,2019,0,0,0
Australia,Syria,2019,3,2,5
Palestine,Jordan,2019,0,0,0
Korea Republic,China PR,2019,2,0,2
Kyrgyz Republic,Philippines,2019,3,1,4
IR Iran,Iraq,2019,0,0,0
Vietnam,Yemen,2019,2,0,2
Lebanon,Korea DPR,2019,4,1,5
Saudi Arabia,Qatar,2019,0,2,2
Japan,Uzbekistan,2019,2,1,3
Oman,Turkmenistan,2019,3,1,4
IR Iran,Oman,2019,2,0,2
Jordan,Vietnam,2019,1,1,2
Thailand,China PR,2019,1,2,3
Australia,Uzbekistan,2019,0,0,0
Japan,Saudi Arabia,2019,1,0,1
United Arab Emirates,Kyrgyz Republic,2019,3,2,5
Korea Republic,Bahrain,2019,2,1,3
Qatar,Iraq,2019,1,0,1
China PR,IR Iran,2019,0,3,3
Vietnam,Japan,2019,0,1,1
Korea Republic,Qatar,2019,0,1,1
United Arab Emirates,Australia,2019,1,0,1
USA,Panama,2019,3,0,3
IR Iran,Japan,2019,0,3,3
United Arab Emirates,Qatar,2019,0,4,4
Japan,Qatar,2019,1,3,4
USA,Costa Rica,2019,2,0,2
Kazakhstan,Moldova,2019,1,0,1
Cuba,Bermuda,2019,5,0,5
Bolivia,Nicaragua,2019,2,2,4
Barbados,Grenada,2019,3,0,3
El Salvador,Guatemala,2019,3,1,4
Cambodia,Bangladesh,2019,0,1,1
Bahamas,Turks and Caicos Islands,2019,6,1,7
Fiji,New Caledonia,2019,3,0,3
Solomon Islands,Vanuatu,2019,3,1,4
Myanmar,Chinese Taipei,2019,0,0,0
Germany,Serbia,2019,1,1,2
Wales,Trinidad and Tobago,2019,1,0,1
